№,Название,Тип,Цена (₽),Размер,Состав,Упаковка,Описание,Тег,Варианты
1,Букет из роз Кения,Букет,6800,35*50,Роза Кения 19,"упаковка, лента","Нежный и утончённый букет. Роза Кения розового оттенка, символизирующей любовь, заботу и теплоту. Минималистичная упаковка нежно-розового цвета подчёркивает красоту цветка, делая его идеальным подарком для дорогого человека. Этот букет дарит мгновение радости и наполняет день светом и нежностью.",,
2,Легкое очарование,Букет,13100,50*50,"Лизиантус 6, писташ 2, эвкалипт 2, диантус 6, Роза кустовая пионовидная","упаковка, лента","Сборный букет в мягкой и гармоничной цветовой гамме. Пионовидная кустовая роза создаёт выразительный центр, лизиантус и диантус добавляют лёгкость и воздушность, а писташ и эвкалипт оживляют композицию зелёными акцентами. Матовая упаковка и аккуратная лента делают букет стильным, современным и идеально подходящим для знака внимания или подарка без повода.",,
3,«Лёгкая свежесть»,Букет,4800,35*45,"Танацетум 7, хризантема Алтай 3","упаковка, лента",Минималистичный и свежий букет с танацетумом и хризантемой «Алтай». Матовая прозрачная упаковка и аккуратная лента подчёркивают воздушность и естественную красоту композиции. Идеальный вариант для лёгкого комплимента или светлого подарка без повода.,,
4,Современная романтика,Букет,9900,40*35,"Тюльпан 25, Ларгус 15",Упаковка 1,"Нежный букет с розовыми тюльпанами и ларгусом, оформленный в белую бумагу с розовой тишью. Лёгкость и свежесть композиции подчёркивает аккуратная розовая лента, делая букет утончённым и гармоничным. Идеальный подарок для романтического жеста, тёплого комплимента или светлого праздничного момента.",,
5,Простая нежность,Букет,7400,35*40,"Эвкалипт 2, Роза кустовая пионовидная 7","упаковка, лента","Минималистичный букет с пышной пионовидной кустовой розой и свежим эвкалиптом. Дизайнерская упаковка подчёркивает естественную красоту цветов, создавая утончённый и стильный подарок. Идеальный выбор для романтического жеста, элегантного комплимента или особенного момента.",,
6,Яркое признание,Букет,9100,70*20,Роза Эквадор 15,Лента 1,"Классический букет из 15 красных эквадорских роз, перевязанный лентой. Насыщенный цвет и крупные бутоны подчёркивают силу чувств и делают этот букет идеальным выбором для признания в любви, особого события или яркого жеста внимания.",,
7,Нежный объем,Букет,5800,30*45,"Роза кустовая пионовидная 2, Роза Эквадор 7, Эвкалипт 2",Упаковка,"Элегантный букет с пионовидной кустовой розой и розой Эквадор, дополненный свежим эвкалиптом. Матовая зелёная упаковка и лента подчёркивают естественность и гармонию композиции. Идеальный выбор для романтического подарка или утончённого знака внимания.",,
8,Естественная симфония,Композиция,5800,25*25,"Хризантема кустовая 1, Сантини 1, Альстромерия 1, Диантус зеленый 1, Хризантема одноголовая 1, Астранция 2, Рускус 2, Сафари 1, Ларгус 9","Коробка 1, Оазис 1","Объёмная и текстурная композиция в коробке на оазисе. В букете гармонично сочетаются кустовые и одноголовые хризантемы, астранция, сантини, альстромерия, диантус и декоративные зелёные акценты — рускус, сафари и ларгус. Разнообразие форм и фактур создаёт живой, естественный образ, а аккуратная упаковка с лентой подчёркивает премиальный характер композиции. Идеально для подарка, который впечатляет своим размахом и вниманием к деталям.",,
9,Чистая любовь,Букет,5800,40*40,"Альстромерия 2, Роза кустовая 1, хризантема кустовая 2, Роза белая 1, сантини 2, астранция 2","упаковка, лента","Светлый и утончённый букет в бело-розовой палитре. Белые розы, астранция и одноголовые хризантемы создают ощущение чистоты и спокойствия, а розовые кустовые розы и альстромерия добавляют мягкого тепла и романтики. Ромашковые сантинии придают композиции лёгкость и естественность. Матовая розовая упаковка с лентой подчёркивает нежный характер букета.",,
10,«Светлая радость»,Букет,5900,40*40,"Альстромерия 2, Роза кустовая 1, хризантема кустовая 1, сантини 2, хризантема одноголовая 1, оксипеталум 3, астранция 2",,"Воздушный букет в мягкой бело-розовой палитре с освежающим голубым акцентом. Белые розы, астранция и хризантемы создают ощущение чистоты и лёгкости, розовые кустовые розы добавляют нежное тепло, а оксипеталум придаёт композиции свежий, почти небесный оттенок. Матовая нежно-лимонная упаковка с лентой подчёркивает солнечный характер букета и делает его особенно тёплым и жизнерадостным.",,
11,Нежность в деталях,Букет,5900,30*40,"Альстромерия 1, лизиантус 1, Роза кустовая 1, сантини 3, оксипеталум 1, астранция 2","упаковка, лента","Воздушный букет в пудрово-розовой палитре с нежным голубым акцентом. Ранункулус и кустовые розы создают мягкий объём, астранция и сантинии добавляют лёгкость, а белый лизиантус и оксипеталум наполняют композицию свежестью. Прозрачная матовая упаковка подчёркивает естественную красоту цветов и делает букет особенно изящным.",,
12,Лунный сад,Букет,4200,30*40,"Альстромерия 2, маттиола 1, Роза белая 1, сантини 2, астранция 2","упаковка, лента","Нежный букет в светлой палитре с тонким сиреневым акцентом. Белые розы и альстромерия создают ощущение чистоты, астранция и сантинии добавляют лёгкость, а матиола — мягкий весенний аромат. Матовая нежно-салатовая упаковка подчёркивает свежесть композиции.",,
13,Белый шелк,Букет,4800,25*45,"Роза белая 5, астранция 4","упаковка, лента","Минималистичный букет, в котором белая роза и астранция звучат чисто и изящно. Лёгкий, воздушный образ без лишних деталей — про вкус, спокойствие и утончённость. Белая бумажная упаковка и лента подчёркивают естественную красоту цветов.",,
14,Первое свидание,Букет,5500,35*10,"Альстрмоерия 2, лизиантус 1, Роза кустовая 1, хризантема кустовая 2, сантинии 1, ранункулус 1, оксипеталум 1, хамелациум розовый 1","упаковка, лента","Воздушный и многослойный букет, собранный в мягкой розово-белой гамме. Ромашковая кустовая хризантема придаёт композиции лёгкость и свежесть, розовая кустовая роза и ранункулус — романтичное настроение, альстромерия и лизиантус добавляют утончённости, а оксипеталум и розовый хамелациум создают эффект изящных акцентов. Белая упаковка и лента подчёркивают чистоту и нежность образа. Идеальный выбор для трогательного подарка, свидания или искреннего знака внимания.",,
15,«Солнечный комплимент»,Букет,3260,35*40,"Роза кустовая 1, хризантема одноголовая белая 1, зеленая хризантема одноголовая 1, альстромерия розовая 1, оксипеталум голубой 1, сантинии ромашковые 1, ларгус желтый 6",упаковка,"Очаровательная композиция в сумке с ручками на оазисе из ромашковых хризантем, кустового диантуса, ларгуса и солидаго. Лёгкая, свежая палитра создаёт настроение радости, уюта и тёплого внимания. Идеальный вариант для приятного сюрприза, комплимента или небольшого подарка без повода.",,
16,Пионовая гармония,Букет,6300,30*45,"Хризантема кустовая 3, эвкалипт 2, Роза куст пионовидная 4","упаковка, лента","Элегантный букет из 4 пионовидных роз кустовых и 4 кустовых хризантем с добавлением эвкалипта, оформленный в стильную упаковку. Сочетание мягких оттенков и свежей зелени создаёт утончённый, гармоничный образ. Идеальный подарок для комплимента, небольшого праздника или стильного интерьерного акцента.",,
17,«Белое облако»,Композиция,6800,25*25,"лизиантус белый 5, альстромерия 5, рускус 3","Коробка шляпная, оазис, лента, транспортировочная упаковка","Воздушная композиция в белой шляпной коробке с лентой и транспортировочной упаковкой. Белый лизиантус и альстромерия в сочетании с рускусом создают лёгкий, свежий и элегантный образ. Идеальный подарок для деликатного комплимента, поздравления или стильного интерьерного акцента.",,
18,Экзотическая гармония,Композиция,9600,30*30,"Антуриум 1, лизиантус 1, писташ 1, питтоспорум 3, роща эквадор 5","коробка шляпная, упаковка, лента","Объёмная композиция в шляпной коробке с лентой, собранная на оазисе. Антуриум, роза монстер и диантус создают экзотический акцент, лизиантус и гиперикум добавляют нежности, а писташ и питоспорум придают свежесть и объём. Элегантная коробка подчёркивает премиальный характер подарка и делает его эффектным для любого торжественного случая.",#14февраля,
19,«Чистая классика»,Букет,7700,60*25,Роза белая 15,лента,"Изысканный букет из 15 белых роз, собранный с минималистичной лентой. Чистота оттенков и элегантная форма делают этот букет универсальным подарком для романтического жеста, юбилея или любого особого события. Идеальный выбор для ценителей утончённой красоты.",#14февраля,
20,«Сердечная нежность»,Букет,4100,35*50,"Французская Роза белая 7, эвкалипт 2",Упаковка,"Очаровательный букет из 7 белых французских роз и 2 веточек эвкалипта, оформленный в красную и белую бумагу с сердечками и лентой. Идеальный выбор для признания в любви, романтического комплимента или особого повода. Элегантность белых роз в сочетании с яркой упаковкой создаёт атмосферу нежности и тепла.",#14февраля,
21,«Малиново-белая страсть»,Букет,4650,35*50,"Роза малиновая 6, Роза белая 5, писташ 2","упаковка бумага белая с сердцами, матовая прозрачная упаковка, лента","Красивый микс из 6 малиновых и 5 белых роз с акцентом на свежий писташ, оформленный в белую бумагу с сердцами и матовую прозрачную упаковку с лентой. Контраст цветов создаёт насыщенный и романтичный образ. Идеальный подарок для признания в любви, юбилея или особого случая, когда хочется подчеркнуть эмоции и чувства.",#14февраля,
22,Розовая мелодия,Букет,4950,15*60; 15*60; 20*60; 30*60; 30*60,Роза кантри блюз,Лента,"Очаровательный букет из роз сорта «Кантриблюз», собранный с элегантной лентой. Нежные оттенки и лаконичная форма создают романтичный и утончённый образ. Идеальный подарок для комплимента, признания в чувствах или небольшого знака внимания.",,7 шт. — 4950 ₽ (15*60); 9 шт. — 6700 ₽ (15*60); 11 шт. — 7800 ₽ (20*60); 15 шт. — 10500 ₽ (30*60); 21 шт. — 14500 ₽ (30*60)
23,Нежное настроение,Букет,13950,45*50,"Эвкалипт 2, Роза кустовая пионовидная 15","упаковка, лента","Букет из пионовидных кустовых роз с добавлением эвкалипта — про естественную нежность и утончённый стиль. Крафтовая упаковка подчёркивает природную красоту цветов, а лента аккуратно завершает образ. Идеальный выбор для искреннего подарка, который говорит о чувствах без лишних слов.",,
24,Красный бархат,Букет,14500,30*60,Роза red monster 21,"Упаковка, лента","Роскошный букет из 21 розы сорта Red Monster, собранный с лаконичной лентой. Глубокий насыщенный оттенок и крупные бутоны создают яркий, страстный и премиальный образ. Идеальный выбор для признания в любви, эффектного комплимента и особых моментов, которые хочется подчеркнуть.",#14февраля,
25,«Бордовый шик»,Композиция,8200,30*30,"Роза Эквадор 3, Антуриум 1, Астильба 1, Диантус зеленый 3, Лизиантус 1, Питтоспорум 3","Оазис, Коробка","Роскошная композиция в шляпной коробке бордового цвета с брендированной наклейкой. Роза Эквадор и антуриум создают яркий акцент, астильба и лизиантус придают лёгкость и утончённость, а диантус зелёный и питтоспорум добавляют объём и свежесть. Эффектный подарок для особого случая, торжества или премиального знака внимания.",,
26,«Солнечный комплимент» (в сумке),Композиция,2500,25*25,"Хризантема кустовая ромашковая 2, Диантус кустовой 1, Ларгус 5, Солидаго 1","Оазис 1, сумка","Очаровательная композиция в сумке с ручками на оазисе из ромашковых хризантем, кустового диантуса, ларгуса и солидаго. Лёгкая, свежая палитра создаёт настроение радости, уюта и тёплого внимания. Идеальный вариант для приятного сюрприза, комплимента или небольшого подарка без повода.",,
27,«Сюрприз»,Композиция,12100,17*20,"Короб прозрачный 1, Роза Кения 9",лента,"Уникальная композиция — вода и цветы: всё, что мы видим 💞 и всё, что нужно для того, чтобы порадовать любимых 💌",,
28,«Лимонный фреш»,Букет,4200,22*30,"Лизиантус 1, Роза кустовая бомбастик 3, эвкалипт 1","упаковка, лента","Букет для самых нежных романтических натур. Свежий цветок на любой вкус с доставкой до двери. Его нежные краски впишутся в любой интерьер и создадут уют и тепло в каждом уголке квартиры. Идеальный подарок на день рождения, юбилей, свадьбу или как букет-комплимент.",,
29,Букет из сантини,Букет,4990,40*50,Сантини 15,лента,"Легкий и очаровательный букет из 15 белых ромашковых Сантини — воплощение чистоты и свежести. Эти изящные цветы с пушистыми лепестками и яркими сердцевинами создают атмосферу простоты и гармонии, идеально подходя для поздравлений, свадеб или просто для поднятия настроения. Белый цвет символизирует невинность и новые начинания, делая букет универсальным подарком, который радует своей естественной красотой.",,
30,«Сладкое признание»,Коробка,5700,,"рафаелло конфеты, альстромерия 1, хризантема кустовая 1, роза пионовидная 2","Коробка «сердце», оазис, транспортировочная упаковка","Нежная композиция в коробке «сердце» с пионовидными розами, альстромерией, кустовой хризантемой и конфетами Raffaello. Гармоничное сочетание цветов и сладкого акцента создаёт атмосферу заботы, тепла и искренних чувств. Идеальный подарок для признания в любви, романтического сюрприза и особых моментов.",,
31,«Белая гармония»,Корзина,8250,30*30,"Хризантема кустовая Алтай 4, эвкалипт 2, Роза белая 5, гвоздика белая 3","корзина, оазис, транспортировочная упаковка","Элегантная композиция в корзине из белых роз, кустовой хризантемы Алтай, гвоздики и свежего эвкалипта. Чистая светлая палитра и благородные текстуры создают ощущение утончённости, свежести и спокойствия. Идеальный подарок для особых случаев, свадебных поздравлений, юбилеев и тёплых знаков внимания.",,
32,«Сладкая корзина»,Корзина,8960,30*30,"Роза французская розовая 3, танацетум 3, альстромерия 2, гвоздика 3, рафаелло конфетки","Корзина 1, оазис, транспортировочная упаковка","Очаровательная композиция в корзине с розовой французской розой, танацетумом, альстромерией и гвоздикой, дополненная конфетами Raffaello. Нежные оттенки, воздушная фактура и сладкий акцент создают атмосферу заботы, тепла и праздника. Идеальный подарок для любимых, подруги, мамы или в знак особого внимания.",,
33,Букет Magnum,Букет,3950,30*50,Хризантема одноголовая 5,"упаковка, лента","Стильный и объёмный букет «Magnum» из 5 одноголовых белых хризантем, оформленный в лаконичную упаковку с лентой. Крупные бутоны, чистый оттенок и выразительная форма делают композицию эффектной и универсальной. Идеальный выбор для поздравления, комплимента или элегантного жеста внимания.",,
34,«Ромашковое утро»,Букет,2600,25*30,Сантини 9,"упаковка, лента","Светлый и искренний букет из ромашковых сантиний. Легкий, воздушный и трогательный — будто теплое утро, когда всё начинается мягко и спокойно.",,
35,«Легкий бриз»,Букет,9760,45*50,"Хризантема одноголовая 7, оксипеталум 10","упаковка, лента","Минималистичная и нежная композиция в бело-голубой гамме. Белая одноголовая хризантема создаёт чистоту и свежесть, а голубой оксипеталум добавляет мягкий акцент и лёгкость. Всё собрано в элегантную белую упаковку с лиловой тишью — готовый подарок, который подарит ощущение покоя и гармонии.",,
36,«Кремовый поцелуй»,Букет,6990,35*45,"Рускус 5, Роза Кения 19","упаковка, лента","Элегантный букет из кремовых кенийских роз с акцентом свежего рускуса — лёгкий, воздушный и утончённый. Нежные лепестки и сочная зелень красиво оттенены лимонной упаковкой, создавая яркий, но по-весеннему мягкий образ. Идеальный подарок, когда хочется сказать «ты — моя нежность».",,
37,«Классика чувств»,Букет,5200,20*45,Роза Кения 15,"упаковка, лента","Элегантный букет из 15 роз Кения с аккуратным оформлением. Идеальная форма бутонов, свежесть и насыщенный цвет делают этот букет беспроигрышным выбором для романтического комплимента, поздравления или тёплого жеста внимания.",,
38,«Country Rose Dream»,Букет,11000,25*60,"Рускус 5, кантри блюз Роза пионовидная 15","упаковка, лента","Букет из пионовидных роз Country Blue — это воплощение мягкости, утончённости и спокойной романтики. Их розовые лепестки раскрываются густыми волнами, напоминающими садовые розы из французской деревни, а свежий зелёный рускус подчёркивает воздушность и природную красоту композиции. В белой упаковке букет выглядит особенно чистым и светлым — как тёплое пожелание, сказанное от души.",,
39,«Совершенство»,Букет,7990,30*45,Роза Кения 25,"упаковка, лента","Роскошный букет из 25 роз Кения, оформленный в лаконичную бумагу с лентой. Чистота оттенка, идеальная форма бутонов и объём создают ощущение утончённости, нежности и премиального стиля. Идеальный подарок для признания в чувствах, свадьбы, юбилея или особенного события.",,
40,«Белоснежная гармония»,Букет,8000,35*45,"Альстромерия 3, лизиантус 2, сантини 4, хризантема кустовая, эвкалипт 1, диантус 3, Роза 5","упаковка, лента","Изысканный букет в белоснежной гамме, который дарит ощущение чистоты и утончённой красоты. Белая Роза Аваланж и хризантема кустовая создают объём и элегантность, лизиантус и диантус добавляют мягкость и нежность, альстромерия и сантиния придают свежесть и текстуру, а эвкалипт завершает композицию гармоничным зелёным акцентом. Всё собрано в матовую розовую и прозрачную бумагу с брендированной лентой — готовый подарок, который наполняет дом светом, радостью и теплом.",,